,num_registro,sd_16,sd_15,sd_14,sd_13,sd_12,sd_11,sd_10,sd_9,sd_8,sd_7,sd_6,sd_5,sd_4,sd_3,sd_2,sd_1,prom_venta,Prediccion01,Prediccion23
26,37317479990877,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,00,00
27,37315740936877,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1.5,00,00
28,37314853118577,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2.0,00,00
29,37310623245277,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,3.5,10,00
30,37313418975177,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,00,00
31,37316748970377,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1.6,00,00
32,37321724817577,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2.0,00,00
33,37312816434277,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,00,00
34,37301482759277,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3.0,01,00
35,37350486273577,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,01,00
36,37311683252777,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.0,00,00
37,37300665502177,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,4.5,10,00
38,37310789351477,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1.0,10,00
39,37323785496277,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,00,00
40,37315845825777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0,00,00
41,37320889584177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,00,00
42,37317675732277,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,23.0,00,00
43,37319540292377,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.3,00,00
44,37310325685577,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,10,00
45,37311838381677,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,00,00
46,37320683764077,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,10,00
47,37300266193477,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13.2,00,00
48,37314739392277,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,00,00
49,37300786668777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,00,00
50,37317895255377,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,00,00
51,37321772486677,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,00,00
52,37312335853977,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.5,00,00
53,37314247428877,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.3,00,00
54,37323340064377,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,5.0,01,01
55,37312636520977,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3.0,10,00
56,37318707864877,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.0,00,00
57,37313476257977,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,00,00
58,37317851664877,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,14.0,00,00
59,37311721592377,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,10,00
60,37317889617877,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,00,00
61,37301633879577,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0,00,00
62,37312808823077,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,00,10
63,37316811128877,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,00,10
